1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,A,B,C,D,E,F,G,H,I,J,K
2014-2015,1,61119,130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,746",320,18.30%,396,22.70%,"1,675",307,18.30%,378,22.60%,Y
2014-2015,1,61119,130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,High Schools (Public),Traditional,,Y,352,Directly funded,Y,6,12,376,35,9.30%,47,12.50%,374,33,8.80%,45,12.00%,Y
2014-2015,1,61119,130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,,Y,398,Directly funded,Y,9,12,161,123,76.40%,148,91.90%,142,110,77.50%,132,93.00%,Y
2014-2015,1,61119,132878,Alameda,Alameda Unified,Encinal High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,052",371,35.30%,447,42.50%,"1,003",349,34.80%,422,42.10%,Y
2014-2015,1,61119,134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,144,73,50.70%,83,57.60%,112,54,48.20%,63,56.30%,Y
2014-2015,1,61119,6090005,Alameda,Alameda Unified,Donald D. Lum Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,519,127,24.50%,159,30.60%,504,123,24.40%,155,30.80%,Y
2014-2015,1,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,486,50,10.30%,58,11.90%,486,50,10.30%,58,11.90%,Y
2014-2015,1,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,588,74,12.60%,100,17.00%,588,74,12.60%,100,17.00%,Y
2014-2015,1,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,326,39,12.00%,50,15.30%,326,39,12.00%,50,15.30%,Y
2014-2015,1,61119,6090047,Alameda,Alameda Unified,Henry Haight Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,452,214,47.30%,254,56.20%,432,207,47.90%,246,56.90%,Y
2014-2015,1,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,900,105,11.70%,139,15.40%,900,105,11.70%,139,15.40%,Y
2014-2015,1,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,439,187,42.60%,218,49.70%,439,187,42.60%,218,49.70%,Y
2014-2015,1,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,316,125,39.60%,140,44.30%,300,115,38.30%,130,43.30%,Y
2014-2015,1,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,622,42,6.80%,54,8.70%,608,41,6.70%,53,8.70%,Y
2014-2015,1,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,572,35,6.10%,45,7.90%,572,35,6.10%,45,7.90%,Y
2014-2015,1,61127,1,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,1,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,Y
2014-2015,1,61127,130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,10,12,27,10,37.00%,15,55.60%,21,9,42.90%,14,66.70%,Y
2014-2015,1,61127,130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,195",166,13.90%,232,19.40%,"1,163",163,14.00%,228,19.60%,Y
2014-2015,1,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,570,58,10.20%,78,13.70%,570,58,10.20%,78,13.70%,Y
2014-2015,1,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,868,145,16.70%,188,21.70%,868,145,16.70%,188,21.70%,Y
2014-2015,1,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,523,54,10.30%,71,13.60%,523,54,10.30%,71,13.60%,Y
2014-2015,1,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,697,211,30.30%,247,35.40%,663,202,30.50%,236,35.60%,Y
2014-2015,1,61143,1,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,32,10,31.30%,10,31.30%,24,8,33.30%,8,33.30%,Y
2014-2015,1,61143,122689,Alameda,Berkeley Unified,REALM Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1254,Directly funded,Y,6,8,310,182,58.70%,230,74.20%,310,182,58.70%,230,74.20%,Y
2014-2015,1,61143,122697,Alameda,Berkeley Unified,REALM Charter High,Unified School District,High Schools (Public),Traditional,,Y,1255,Directly funded,Y,9,12,361,223,61.80%,267,74.00%,350,216,61.70%,260,74.30%,Y
2014-2015,1,61143,131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"3,182",804,25.30%,934,29.40%,"3,096",768,24.80%,895,28.90%,Y
2014-2015,1,61143,134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,,N,,,N,10,12,85,63,74.10%,65,76.50%,77,56,72.70%,58,75.30%,Y
2014-2015,1,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,957,286,29.90%,344,35.90%,957,286,29.90%,344,35.90%,Y
2014-2015,1,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,561,257,45.80%,285,50.80%,561,257,45.80%,285,50.80%,Y
2014-2015,1,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science Magnet,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,446,128,28.70%,145,32.50%,446,128,28.70%,145,32.50%,Y
2014-2015,1,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,441,151,34.20%,177,40.10%,441,151,34.20%,177,40.10%,Y
2014-2015,1,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,295,82,27.80%,104,35.30%,295,82,27.80%,104,35.30%,Y
2014-2015,1,61143,6090252,Alameda,Berkeley Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,392,113,28.80%,126,32.10%,379,106,28.00%,119,31.40%,Y
2014-2015,1,61143,6090278,Alameda,Berkeley Unified,Leconte Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,347,162,46.70%,177,51.00%,339,158,46.60%,172,50.70%,Y
2014-2015,1,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,567,151,26.60%,174,30.70%,549,143,26.00%,165,30.10%,Y
2014-2015,1,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,510,224,43.90%,261,51.20%,510,224,43.90%,261,51.20%,Y
2014-2015,1,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,302,94,31.10%,117,38.70%,302,94,31.10%,117,38.70%,Y
2014-2015,1,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,452,160,35.40%,197,43.60%,451,160,35.50%,197,43.70%,Y
2014-2015,1,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,468,148,31.60%,170,36.30%,459,144,31.40%,166,36.20%,Y
2014-2015,1,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,445,139,31.20%,161,36.20%,432,135,31.30%,157,36.30%,Y
2014-2015,1,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,289,124,42.90%,141,48.80%,279,122,43.70%,139,49.80%,Y
2014-2015,1,61150,1,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,19,3,15.80%,4,21.10%,16,3,18.80%,4,25.00%,Y
2014-2015,1,61150,130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,,N,,,N,9,12,28,3,10.70%,3,10.70%,1,0,0.00%,0,0.00%,Y
2014-2015,1,61150,132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,977",382,12.80%,508,17.10%,"2,921",369,12.60%,494,16.90%,Y
2014-2015,1,61150,135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,129,34,26.40%,41,31.80%,115,31,27.00%,37,32.20%,Y
2014-2015,1,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,493,146,29.60%,182,36.90%,465,140,30.10%,175,37.60%,Y
2014-2015,1,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,451,50,11.10%,65,14.40%,451,50,11.10%,65,14.40%,Y
2014-2015,1,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,788,87,11.00%,129,16.40%,788,87,11.00%,129,16.40%,Y
2014-2015,1,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,625,45,7.20%,66,10.60%,594,42,7.10%,62,10.40%,Y
2014-2015,1,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,450,112,24.90%,142,31.60%,450,112,24.90%,142,31.60%,Y
2014-2015,1,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,142,11,7.70%,14,9.90%,142,11,7.70%,14,9.90%,Y
2014-2015,1,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,532,52,9.80%,76,14.30%,532,52,9.80%,76,14.30%,Y
2014-2015,1,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,461,80,17.40%,117,25.40%,447,77,17.20%,114,25.50%,Y
2014-2015,1,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,415,40,9.60%,50,12.00%,415,40,9.60%,50,12.00%,Y
2014-2015,1,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,"1,400",233,16.60%,333,23.80%,"1,400",233,16.60%,333,23.80%,Y
2014-2015,1,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,451,11,2.40%,17,3.80%,451,11,2.40%,17,3.80%,Y
2014-2015,1,61168,132746,Alameda,Emery Unified,Emery Secondary,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,191,113,59.20%,130,68.10%,185,109,58.90%,126,68.10%,Y
2014-2015,1,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,504,335,66.50%,368,73.00%,492,327,66.50%,358,72.80%,Y
2014-2015,1,61176,1,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,46,8,17.40%,8,17.40%,38,8,21.10%,8,21.10%,Y
2014-2015,1,61176,127233,Alameda,Fremont Unified,Young Adult Program,Unified School District,Special Education Schools (Public),Special Education School,,N,,,N,9,12,25,1,4.00%,1,4.00%,0,0,0.00%,0,0.00%,Y
2014-2015,1,61176,130062,Alameda,Fremont Unified,American High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,985",303,15.30%,368,18.50%,"1,938",288,14.90%,351,18.10%,Y
2014-2015,1,61176,130138,Alameda,Fremont Unified,Robertson High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,207,73,35.30%,90,43.50%,167,59,35.30%,76,45.50%,Y
2014-2015,1,61176,130435,Alameda,Fremont Unified,Vista Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,7,12,52,8,15.40%,9,17.30%,46,7,15.20%,8,17.40%,Y
2014-2015,1,61176,130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,,Y,152,Locally funded,N,K,12,247,23,9.30%,23,9.30%,237,22,9.30%,22,9.30%,Y
2014-2015,1,61176,134270,Alameda,Fremont Unified,Irvington High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,248",221,9.80%,288,12.80%,"2,216",217,9.80%,282,12.70%,Y
2014-2015,1,61176,134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,436",362,25.20%,452,31.50%,"1,391",351,25.20%,440,31.60%,Y
2014-2015,1,61176,135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,129",60,2.80%,72,3.40%,"2,108",58,2.80%,69,3.30%,Y
2014-2015,1,61176,138693,Alameda,Fremont Unified,Washington High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,833",318,17.30%,388,21.20%,"1,785",304,17.00%,372,20.80%,Y
2014-2015,1,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,440,171,38.90%,219,49.80%,425,166,39.10%,214,50.40%,Y
2014-2015,1,61176,6000558,Alameda,Fremont Unified,Brier Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,748,273,36.50%,321,42.90%,715,272,38.00%,320,44.80%,Y
2014-2015,1,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,386,178,46.10%,215,55.70%,386,178,46.10%,215,55.70%,Y
2014-2015,1,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,377,182,48.30%,227,60.20%,377,182,48.30%,227,60.20%,Y
2014-2015,1,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,656,193,29.40%,224,34.10%,656,193,29.40%,224,34.10%,Y
2014-2015,1,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,479,103,21.50%,123,25.70%,462,99,21.40%,119,25.80%,Y
2014-2015,1,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,513,165,32.20%,209,40.70%,479,159,33.20%,203,42.40%,Y
2014-2015,1,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,3,"1,075",29,2.70%,34,3.20%,"1,075",29,2.70%,34,3.20%,Y
2014-2015,1,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,589,97,16.50%,136,23.10%,587,97,16.50%,136,23.20%,Y
2014-2015,1,61176,6000715,Alameda,Fremont Unified,Tom Maloney Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,596,144,24.20%,161,27.00%,579,141,24.40%,157,27.10%,Y
2014-2015,1,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,625,78,12.50%,89,14.20%,625,78,12.50%,89,14.20%,Y
2014-2015,1,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,645,33,5.10%,43,6.70%,645,33,5.10%,43,6.70%,Y
2014-2015,1,61176,6000756,Alameda,Fremont Unified,Niles Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,606,40,6.60%,57,9.40%,606,40,6.60%,57,9.40%,Y
2014-2015,1,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,540,108,20.00%,123,22.80%,538,107,19.90%,122,22.70%,Y
2014-2015,1,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,919,54,5.90%,68,7.40%,888,53,6.00%,67,7.50%,Y
2014-2015,1,61176,6000806,Alameda,Fremont Unified,Patterson Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,619,123,19.90%,170,27.50%,619,123,19.90%,170,27.50%,Y
2014-2015,1,61176,6000830,Alameda,Fremont Unified,Vallejo Mill Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,552,129,23.40%,144,26.10%,537,127,23.60%,142,26.40%,Y
2014-2015,1,61176,6000848,Alameda,Fremont Unified,Warm Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,3,6,871,21,2.40%,29,3.30%,871,21,2.40%,29,3.30%,Y
2014-2015,1,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,967,225,23.30%,265,27.40%,967,225,23.30%,265,27.40%,Y
2014-2015,1,61176,6056881,Alameda,Fremont Unified,G. M. Walters Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,725,227,31.30%,282,38.90%,725,227,31.30%,282,38.90%,Y
2014-2015,1,61176,6056907,Alameda,Fremont Unified,John M. Horner Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,"1,030",127,12.30%,158,15.30%,"1,030",127,12.30%,158,15.30%,Y
2014-2015,1,61176,6056915,Alameda,Fremont Unified,Thornton Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,"1,156",154,13.30%,200,17.30%,"1,156",154,13.30%,200,17.30%,Y
2014-2015,1,61176,6056923,Alameda,Fremont Unified,William Hopkins Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,990,23,2.30%,30,3.00%,990,23,2.30%,30,3.00%,Y
2014-2015,1,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,778,16,2.10%,17,2.20%,752,16,2.10%,17,2.30%,Y
2014-2015,1,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,658,49,7.40%,60,9.10%,586,45,7.70%,55,9.40%,Y
2014-2015,1,61176,6089619,Alameda,Fremont Unified,Warwick Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,862,132,15.30%,160,18.60%,862,132,15.30%,160,18.60%,Y
2014-2015,1,61176,6090526,Alameda,Fremont Unified,Joshua Chadbourne Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,833,35,4.20%,44,5.30%,833,35,4.20%,44,5.30%,Y
2014-2015,1,61176,6090534,Alameda,Fremont Unified,Mission San Jose Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,624,12,1.90%,13,2.10%,611,10,1.60%,11,1.80%,Y
2014-2015,1,61176,6090542,Alameda,Fremont Unified,Oliveira Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,695,102,14.70%,131,18.80%,695,102,14.70%,131,18.80%,Y
2014-2015,1,61176,6090559,Alameda,Fremont Unified,Steven Millard Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,600,109,18.20%,138,23.00%,595,109,18.30%,138,23.20%,Y
2014-2015,1,61176,6104723,Alameda,Fremont Unified,Ardenwood Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,965,54,5.60%,71,7.40%,948,54,5.70%,71,7.50%,Y
2014-2015,1,61176,6106983,Alameda,Fremont Unified,Fred E. Weibel Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,853,30,3.50%,36,4.20%,821,29,3.50%,35,4.30%,Y
2014-2015,1,61176,6111330,Alameda,Fremont Unified,Forest Park Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,"1,028",30,2.90%,40,3.90%,"1,028",30,2.90%,40,3.90%,Y
2014-2015,1,61192,1,Alameda,Hayward Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,89,25,28.10%,25,28.10%,69,25,36.20%,25,36.20%,Y
2014-2015,1,61192,108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),Traditional,,Y,684,Directly funded,Y,9,12,507,241,47.50%,331,65.30%,492,232,47.20%,319,64.80%,Y
2014-2015,1,61192,111815,Alameda,Hayward Unified,Stonebrae Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,717,324,45.20%,376,52.40%,717,324,45.20%,376,52.40%,Y
